"","Year","Light_passenger_emission","Light_commercial_emission","Heavy_fleet_emission"
"1",2001,6.84676161935,1.43163139289,2.38191803932
"2",2002,7.14638539592,1.49156740104,2.56194101136
"3",2003,7.45626855178,1.51868639803,2.62596462056
"4",2004,7.75125650748,1.51691818616,2.63975503029
"5",2005,7.62313289749,1.57304850431,2.84396556643
"6",2006,7.71395602053,1.61227286519,2.90335399201
"7",2007,7.86261652106,1.67161570921,2.99233139922
"8",2008,7.75394247895,1.72248193541,3.0593292203
"9",2009,7.68391134952,1.73444016214,2.97456555114
"10",2010,7.75194923339,1.79319219507,3.09260707767
"11",2011,7.62630917867,1.83126569439,3.18052291776
"12",2012,7.49392938505,1.85316831236,3.19122947753
"13",2013,7.46274582078,1.91720510819,3.26203240825
"14",2014,7.47404734296,1.97780758539,3.31849619665
"15",2015,7.69433214887,2.12016870342,3.42413874372
"16",2016,7.85708184978,2.23851258215,3.46945281828
