"","Period","Light_passenger","Light_commercial","Truck","Bus","Other","Total_vehicles","Light_passenger_increasing_rate","Light_commercial_increasing_rate","Trucks_increasing_rate","Bus_increasing_rate","Overall_increasing_rate","Light_passenger_per_thousand","Light_commercial_per_thousand"
"1",2000,2147723,347206,95575,4640,12326,2685414,NA,NA,NA,NA,NA,556.72222510239,90.0010368603867
"2",2001,2213694,349773,97764,4962,12526,2757190,0.0307167171930458,0.00739330541522909,0.0229034789432383,0.0693965517241379,0.0162258640272595,570.466177039041,90.136064940085
"3",2002,2292381,355373,101532,5417,13139,2847817,0.0673541234134942,0.0235220589505942,0.0623280146481822,0.167456896551724,0.0659581372708096,580.57008990756,90.0020260858554
"4",2003,2395163,364051,106665,5841,13777,2968279,0.115210387931777,0.0485158666612904,0.116034527857703,0.258836206896552,0.117718643517767,594.746473976957,90.3980433055224
"5",2004,2490925,375790,113522,6317,14429,3088617,0.159798074518921,0.0823257662597996,0.187779230970442,0.361422413793103,0.170614960246633,609.400611620795,91.9363914373089
"6",2005,2578662,388223,119559,6697,15043,3204735,0.200649245736066,0.11813447924287,0.250944284593251,0.443318965517241,0.22042836281032,623.784319891628,93.912044316505
"7",2006,2631722,397670,124035,7003,15350,3282949,0.225354480070288,0.145343110430119,0.297776615223646,0.50926724137931,0.245335064092163,628.906466567892,95.0317832050853
"8",2007,2679461,408968,128423,7511,15579,3358824,0.24758220683021,0.177882870687718,0.343688202981951,0.61875,0.263913678403375,634.372129362186,96.824660258535
"9",2008,2693042,415346,130778,8016,15895,3395803,0.253905647981607,0.196252368910675,0.368328537797541,0.727586206896552,0.289550543566445,632.199164280013,97.5036386684821
"10",2009,2684878,414724,129887,8398,15837,3391275,0.250104412906134,0.194460925214426,0.35900601621763,0.809913793103448,0.28484504299854,624.012922419002,96.3891600427648
"11",2010,2705396,416725,128493,8550,15567,3414052,0.259657786409141,0.200224074468759,0.34442061208475,0.842672413793103,0.262940126561739,621.830050336727,95.7834371480452
"12",2011,2698383,418870,127240,8663,15796,3408766,0.256392467743745,0.206401963099716,0.331310489144651,0.867025862068965,0.281518740872952,615.507071167883,95.5451642335766
"13",2012,2736566,428878,127221,8797,16123,3460165,0.274170831154669,0.235226349775062,0.331111692388177,0.895905172413793,0.308048028557521,620.803974501486,97.2931648556067
"14",2013,2794773,448393,129168,9060,17654,3545650,0.301272557029002,0.291432175711249,0.351483128433168,0.952586206896552,0.432257017686192,619.72481539792,100.941671731839
"15",2014,2884155,474661,132678,9289,22127,3674721,0.342889655695823,0.367087550330351,0.388208213444938,1.00193965517241,0.795148466655849,639.544759074883,105.253342794421
"16",2015,2979497,503225,136132,9526,24799,3810823,0.387281786338369,0.449355713898953,0.42434737117447,1.05301724137931,1.01192601006004,648.322779989991,109.499096981961
"17",2016,3096571,540414,139620,10154,27698,3977966,0.441792540285689,0.556465038046577,0.460842270468219,1.18836206896552,1.24711990913516,659.827615597699,115.153206903899
"18",2017,3218344,580679,144148,10711,30468,4154897,0.498491192765548,0.672433656100413,0.508218676432121,1.30840517241379,1.4718481259127,671.341496485117,121.128726089405
