Year,NZ_million_litres,On_road_min_fuel_estimate,On_road_max_fuel_estimate,million_Km,Light_passenger_emission,Light_commercial_emission,Motorcycle_emission,Heavy_fleet_emission,Total_population,Year_average_total
2001,2867.2540458068192,2703.5338397912496,2732.4931056538985,28672.105564,6.84676161935,1.43163139289,0.02638894843,2.3819180393200003,3916200,3886700
2002,2965.3746692945815,2796.051775677861,2826.002059837736,29467.008959,7.14638539592,1.49156740104,0.026506191670000002,2.5619410113599996,3989500,3951200
2003,3056.112228722812,2881.608220462739,2912.4749539728396,30096.846163,7.45626855178,1.5186863980300003,0.027180429620000002,2.62596462056,4061600,4027700
2004,3166.0002412360027,2985.221627461427,3017.1982298979106,30576.894181,7.751256507480001,1.51691818616,0.02827027609,2.63975503029,4114300,4088700
2005,3096.045901659154,2919.2616806744163,2950.531744281174,30565.610312,7.623132897490001,1.57304850431,0.030753031780000002,2.84396556643,4161e3,4136e3
2006,3120.3563421865438,2942.183995047692,2973.6995941037762,30273.367138,7.71395602053,1.61227286519,0.036317122279999996,2.9033539920099996,4209100,4185300
2007,3176.8480751757293,2995.450050083195,3027.53621564247,30549.801184,7.8626165210600005,1.6716157092100001,0.039536370550000005,2.9923313992200002,4245700,4226200
2008,3125.316467914163,2946.860897596264,2978.426593922197,29874.508715,7.75394247895,1.72248193541,0.04424636534,3.0593292203,4280300,4262e3
2009,3082.1562610600954,2906.165138553564,2937.2949167902707,29922.525383,7.683911349520001,1.7344401621399999,0.045182937199999995,2.97456555114,4332100,4304900
2010,3101.1711777173214,2924.094303469662,2955.416132364607,29823.519177,7.751949233390001,1.7931921950700003,0.045451493870000005,3.0926070776699994,4373900,4353e3
2011,3050.995417399038,2876.783579065553,2907.5986327812834,29333.604207,7.62630917867,1.8312656943899999,0.04420220917,3.1805229177600003,4399400,4386300
2012,2984.634651324289,2814.2120127336716,2844.3568227120472,29225.071712,7.49392938505,1.8531683123599996,0.04367282506,3.1912294775300003,4425900,4410700
2013,2973.669921637806,2803.873369112287,2833.907435320829,29390.164082,7.4627458207799995,1.9172051081900001,0.04431666279000001,3.26203240825,4475800,4446700
2014,2972.1851982356266,2802.473423416372,2832.492493918552,29850.896185,7.47404734296,1.97780758539,0.04454887498000001,3.31849619665,4554600,4513100
2015,3060.356296506934,2885.609951976388,2916.519550571108,30803.956722,7.69433214887,2.12016870342,0.046160404009999996,3.42413874372,4647300,4599300
2016,3123.607269609562,2945.249294514856,2976.7977279379124,32114.416836,7.85708184978,2.23851258215,0.047552749799999995,3.4694528182799993,4747200,4696500
