"","Year","variable","value","Total_population","Year_average_total"
"1",2001,"Light_passenger_emission",6.84676161935,3916200,3886700
"2",2002,"Light_passenger_emission",7.14638539592,3989500,3951200
"3",2003,"Light_passenger_emission",7.45626855178,4061600,4027700
"4",2004,"Light_passenger_emission",7.75125650748,4114300,4088700
"5",2005,"Light_passenger_emission",7.62313289749,4161000,4136000
"6",2006,"Light_passenger_emission",7.71395602053,4209100,4185300
"7",2007,"Light_passenger_emission",7.86261652106,4245700,4226200
"8",2008,"Light_passenger_emission",7.75394247895,4280300,4262000
"9",2009,"Light_passenger_emission",7.68391134952,4332100,4304900
"10",2010,"Light_passenger_emission",7.75194923339,4373900,4353000
"11",2011,"Light_passenger_emission",7.62630917867,4399400,4386300
"12",2012,"Light_passenger_emission",7.49392938505,4425900,4410700
"13",2013,"Light_passenger_emission",7.46274582078,4475800,4446700
"14",2014,"Light_passenger_emission",7.47404734296,4554600,4513100
"15",2015,"Light_passenger_emission",7.69433214887,4647300,4599300
"16",2016,"Light_passenger_emission",7.85708184978,4747200,4696500
"17",2001,"Light_commercial_emission",1.43163139289,3916200,3886700
"18",2002,"Light_commercial_emission",1.49156740104,3989500,3951200
"19",2003,"Light_commercial_emission",1.51868639803,4061600,4027700
"20",2004,"Light_commercial_emission",1.51691818616,4114300,4088700
"21",2005,"Light_commercial_emission",1.57304850431,4161000,4136000
"22",2006,"Light_commercial_emission",1.61227286519,4209100,4185300
"23",2007,"Light_commercial_emission",1.67161570921,4245700,4226200
"24",2008,"Light_commercial_emission",1.72248193541,4280300,4262000
"25",2009,"Light_commercial_emission",1.73444016214,4332100,4304900
"26",2010,"Light_commercial_emission",1.79319219507,4373900,4353000
"27",2011,"Light_commercial_emission",1.83126569439,4399400,4386300
"28",2012,"Light_commercial_emission",1.85316831236,4425900,4410700
"29",2013,"Light_commercial_emission",1.91720510819,4475800,4446700
"30",2014,"Light_commercial_emission",1.97780758539,4554600,4513100
"31",2015,"Light_commercial_emission",2.12016870342,4647300,4599300
"32",2016,"Light_commercial_emission",2.23851258215,4747200,4696500
"33",2001,"Heavy_fleet_emission",2.38191803932,3916200,3886700
"34",2002,"Heavy_fleet_emission",2.56194101136,3989500,3951200
"35",2003,"Heavy_fleet_emission",2.62596462056,4061600,4027700
"36",2004,"Heavy_fleet_emission",2.63975503029,4114300,4088700
"37",2005,"Heavy_fleet_emission",2.84396556643,4161000,4136000
"38",2006,"Heavy_fleet_emission",2.90335399201,4209100,4185300
"39",2007,"Heavy_fleet_emission",2.99233139922,4245700,4226200
"40",2008,"Heavy_fleet_emission",3.0593292203,4280300,4262000
"41",2009,"Heavy_fleet_emission",2.97456555114,4332100,4304900
"42",2010,"Heavy_fleet_emission",3.09260707767,4373900,4353000
"43",2011,"Heavy_fleet_emission",3.18052291776,4399400,4386300
"44",2012,"Heavy_fleet_emission",3.19122947753,4425900,4410700
"45",2013,"Heavy_fleet_emission",3.26203240825,4475800,4446700
"46",2014,"Heavy_fleet_emission",3.31849619665,4554600,4513100
"47",2015,"Heavy_fleet_emission",3.42413874372,4647300,4599300
"48",2016,"Heavy_fleet_emission",3.46945281828,4747200,4696500
