"","Year","Total_population","Year_average_total"
"1",1926,1429700,1413700
"2",1927,1450400,1439000
"3",1928,1467400,1456100
"4",1929,1486100,1473400
"5",1930,1506800,1493000
"6",1931,1522800,1514200
"7",1932,1534700,1527100
"8",1933,1547100,1539600
"9",1934,1558400,1551500
"10",1935,1569700,1562200
"11",1936,1584600,1575200
"12",1937,1601800,1590000
"13",1938,1618300,1606800
"14",1939,1641600,1628500
"15",1940,1633600,1637300
"16",1941,1631200,1630900
"17",1942,1636400,1639500
"18",1943,1642000,1635600
"19",1944,1676300,1655800
"20",1945,1727800,1694700
"21",1946,1781200,1759600
"22",1947,1817500,1798300
"23",1948,1853900,1834700
"24",1949,1892100,1871700
"25",1950,1927700,1909100
"26",1951,1970500,1947600
"27",1952,2024600,1996200
"28",1953,2074700,2048800
"29",1954,2118400,2094900
"30",1955,2164800,2139000
"31",1956,2209200,2182800
"32",1957,2262800,2232500
"33",1958,2316000,2285800
"34",1959,2359700,2334600
"35",1960,2403600,2377000
"36",1961,2461300,2426700
"37",1962,2515800,2484900
"38",1963,2566900,2536900
"39",1964,2617000,2589100
"40",1965,2663800,2635300
"41",1966,2711300,2682600
"42",1967,2745000,2727700
"43",1968,2773000,2753500
"44",1969,2804000,2780100
"45",1970,2852100,2819600
"46",1971,2898500,2864200
"47",1972,2959700,2915600
"48",1973,3024900,2977100
"49",1974,3091900,3041800
"50",1975,3143700,3100100
"51",1976,3163400,3131800
"52",1977,3166400,3142600
"53",1978,3165200,3143500
"54",1979,3163900,3137800
"55",1980,3176400,3144000
"56",1981,3194500,3156700
"57",1982,3226800,3180800
"58",1983,3264800,3221700
"59",1984,3293000,3252800
"60",1985,3303100,3271500
"61",1986,3313500,3277000
"62",1987,3342100,3303600
"63",1988,3345200,3317000
"64",1989,3369800,3330200
"65",1990,3410400,3362500
"66",1991,3516000,3495800
"67",1992,3552200,3533000
"68",1993,3597800,3573600
"69",1994,3648300,3621600
"70",1995,3706700,3675800
"71",1996,3762300,3733900
"72",1997,3802700,3782600
"73",1998,3829200,3815800
"74",1999,3851100,3837300
"75",2000,3873100,3860200
"76",2001,3916200,3886700
"77",2002,3989500,3951200
"78",2003,4061600,4027700
"79",2004,4114300,4088700
"80",2005,4161000,4136000
"81",2006,4209100,4185300
"82",2007,4245700,4226200
"83",2008,4280300,4262000
"84",2009,4332100,4304900
"85",2010,4373900,4353000
"86",2011,4399400,4386300
"87",2012,4425900,4410700
"88",2013,4475800,4446700
"89",2014,4554600,4513100
"90",2015,4647300,4599300
"91",2016,4747200,4696500
"92",2017,4844400,4796000
