"","Year","variable","litres_per_person"
"1",2001,"Light_passenger_emission",1.761587367008
"2",2002,"Light_passenger_emission",1.80866202569346
"3",2003,"Light_passenger_emission",1.85124725073367
"4",2004,"Light_passenger_emission",1.8957753093844
"5",2005,"Light_passenger_emission",1.84311723827128
"6",2006,"Light_passenger_emission",1.84310707010967
"7",2007,"Light_passenger_emission",1.86044591383749
"8",2008,"Light_passenger_emission",1.81932014991788
"9",2009,"Light_passenger_emission",1.78492214674441
"10",2010,"Light_passenger_emission",1.78082913700666
"11",2011,"Light_passenger_emission",1.73866565868044
"12",2012,"Light_passenger_emission",1.69903402748997
"13",2013,"Light_passenger_emission",1.67826608963501
"14",2014,"Light_passenger_emission",1.65607838136979
"15",2015,"Light_passenger_emission",1.67293547906638
"16",2016,"Light_passenger_emission",1.67296536778026
"17",2001,"Light_commercial_emission",0.368341110168009
"18",2002,"Light_commercial_emission",0.377497317533914
"19",2003,"Light_commercial_emission",0.377060455850734
"20",2004,"Light_commercial_emission",0.371002564668477
"21",2005,"Light_commercial_emission",0.380330876283849
"22",2006,"Light_commercial_emission",0.385222771411846
"23",2007,"Light_commercial_emission",0.395536346886092
"24",2008,"Light_commercial_emission",0.404148741297513
"25",2009,"Light_commercial_emission",0.402899059708704
"26",2010,"Light_commercial_emission",0.411943991516196
"27",2011,"Light_commercial_emission",0.417496681574448
"28",2012,"Light_commercial_emission",0.420152881030222
"29",2013,"Light_commercial_emission",0.431152339530438
"30",2014,"Light_commercial_emission",0.438237040036782
"31",2015,"Light_commercial_emission",0.460976388454765
"32",2016,"Light_commercial_emission",0.476634213169381
"33",2001,"Heavy_fleet_emission",0.612838150441248
"34",2002,"Heavy_fleet_emission",0.64839568013768
"35",2003,"Heavy_fleet_emission",0.651976219817762
"36",2004,"Heavy_fleet_emission",0.645622087776066
"37",2005,"Heavy_fleet_emission",0.687612564417311
"38",2006,"Heavy_fleet_emission",0.693702719520703
"39",2007,"Heavy_fleet_emission",0.708043017183285
"40",2008,"Heavy_fleet_emission",0.717815396597841
"41",2009,"Heavy_fleet_emission",0.690972043750145
"42",2010,"Heavy_fleet_emission",0.710454187381116
"43",2011,"Heavy_fleet_emission",0.725103827316873
"44",2012,"Heavy_fleet_emission",0.723519957723264
"45",2013,"Heavy_fleet_emission",0.733584997470034
"46",2014,"Heavy_fleet_emission",0.735303050375573
"47",2015,"Heavy_fleet_emission",0.744491279916509
"48",2016,"Heavy_fleet_emission",0.738731569952092
